drink_name,type,size,calories,fat,cholesterol,sodium,carb,sugar,protein,caffeine
Iced Peach Green Tea Lemonade,Iced Teas,Venti,190,0,0,30,47,43,0,40
Iced Peach Green Tea Lemonade,Iced Teas,Trenta,240,0,0,35,60,54,0,50
Iced Matcha Green Tea Latte,Iced Teas,Tall,140,4,15,90,21,20,7,55
Iced Matcha Green Tea Latte,Iced Teas,Grande,200,5,20,120,29,28,9,80
Iced Matcha Green Tea Latte,Iced Teas,Venti,280,8,30,180,41,39,13,110
Iced Green Tea,Iced Teas,Tall,30,0,0,5,8,8,0,20
Iced Green Tea,Iced Teas,Grande,45,0,0,10,11,11,0,25
Iced Green Tea,Iced Teas,Venti,60,0,0,15,16,16,0,40
Iced Green Tea,Iced Teas,Trenta,70,0,0,20,19,19,0,50
Iced Green Tea Lemonade,Iced Teas,Tall,70,0,0,5,17,16,0,20
Iced Green Tea Lemonade,Iced Teas,Grande,90,0,0,10,23,22,0,25
Iced Green Tea Lemonade,Iced Teas,Venti,140,0,0,15,34,33,0,40
Iced Green Tea Lemonade,Iced Teas,Trenta,170,0,0,15,43,41,0,50
Matcha Lemonade,Iced Teas,Tall,90,0,0,10,21,19,1,55
Matcha Lemonade,Iced Teas,Grande,120,0,0,10,29,27,1,80
Matcha Lemonade,Iced Teas,Venti,170,0,0,20,41,38,1,110
Iced Passion Tango™ Tea,Iced Teas,Tall,30,0,0,5,8,8,0,0
Iced Passion Tango™ Tea,Iced Teas,Grande,45,0,0,10,11,11,0,0
Iced Passion Tango™ Tea,Iced Teas,Venti,60,0,0,15,16,16,0,0
Iced Passion Tango™ Tea,Iced Teas,Trenta,70,0,0,20,19,19,0,0
Iced Passion Tango® Tea Lemonade,Iced Teas,Tall,70,0,0,5,17,16,0,0
Iced Passion Tango® Tea Lemonade,Iced Teas,Grande,90,0,0,10,23,22,0,0
Iced Passion Tango® Tea Lemonade,Iced Teas,Venti,140,0,0,15,34,33,0,0
Iced Passion Tango® Tea Lemonade,Iced Teas,Trenta,170,0,0,15,43,41,0,0
Iced Guava Passionfruit Drink,Cold Drinks,Tall,140,2,0,60,31,25,1,0
Iced Guava Passionfruit Drink,Cold Drinks,Grande,190,2.5,0,85,41,33,1,0
Iced Guava Passionfruit Drink,Cold Drinks,Venti,290,4,0,125,61,49,1,0
Iced Pineapple Matcha Drink,Cold Drinks,Tall,130,4,0,85,21,19,1,55
Iced Pineapple Matcha Drink,Cold Drinks,Grande,170,5,0,115,30,27,2,80
Iced Pineapple Matcha Drink,Cold Drinks,Venti,250,8,0,170,42,38,2,110
Iced Golden Ginger Drink,Cold Drinks,Tall,100,4,0,90,16,14,0,0
Iced Golden Ginger Drink,Cold Drinks,Grande,140,5,0,120,22,19,1,0
Iced Golden Ginger Drink,Cold Drinks,Venti,200,8,0,180,31,28,1,0
Star Drink,Cold Drinks,Tall,100,2,0,50,20,17,1,35
Star Drink,Cold Drinks,Grande,130,2.5,0,65,26,22,1,45
Star Drink,Cold Drinks,Venti,190,4,0,95,37,32,1,70
Star Drink,Cold Drinks,Trenta,260,5,0,125,52,45,1,90
Kiwi Starfruit Starbucks Refreshers® Beverage,Cold Drinks,Tall,70,0,0,10,17,14,0,35
Kiwi Starfruit Starbucks Refreshers® Beverage,Cold Drinks,Grande,90,0,0,15,22,18,0,45
Kiwi Starfruit Starbucks Refreshers® Beverage,Cold Drinks,Venti,130,0,0,20,31,27,0,70
Kiwi Starfruit Starbucks Refreshers® Beverage,Cold Drinks,Trenta,180,0,0,25,43,37,1,90
Kiwi Starfruit Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Tall,110,0,0,10,26,23,0,35
Kiwi Starfruit Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Grande,140,0,0,10,34,30,0,45
Kiwi Starfruit Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Venti,200,0,0,20,49,43,0,70
Kiwi Starfruit Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Trenta,270,0,0,25,67,59,1,90
Dragon Drink,Cold Drinks,Tall,100,2.5,0,45,20,18,1,35
Dragon Drink,Cold Drinks,Grande,130,3,0,60,26,23,1,45
Dragon Drink,Cold Drinks,Venti,190,4.5,0,90,37,33,1,70
Dragon Drink,Cold Drinks,Trenta,270,6,0,115,51,45,1,90
Mango Dragonfruit Starbucks Refreshers® Beverage,Cold Drinks,Tall,70,0,0,10,17,15,0,35
Mango Dragonfruit Starbucks Refreshers® Beverage,Cold Drinks,Grande,90,0,0,15,21,19,0,45
Mango Dragonfruit Starbucks Refreshers® Beverage,Cold Drinks,Venti,130,0,0,20,30,27,0,70
Mango Dragonfruit Starbucks Refreshers® Beverage,Cold Drinks,Trenta,180,0.5,0,25,43,38,1,90
Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Tall,110,0,0,10,26,23,0,35
Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Grande,140,0,0,15,33,30,1,45
Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Venti,200,0,0,20,48,44,1,70
Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Trenta,280,0.5,0,25,67,60,1,90
Strawberry Açaí Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Tall,110,0,0,10,27,24,0,35
Strawberry Açaí Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Grande,140,0,0,15,35,32,0,45
Strawberry Açaí Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Venti,200,0,0,20,51,47,0,70
Strawberry Açaí Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Trenta,280,0,0,25,70,63,1,90
Very Berry Hibiscus Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Tall,90,0,0,10,23,21,0,35
Very Berry Hibiscus Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Grande,120,0,0,15,29,25,1,45
Very Berry Hibiscus Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Venti,170,0,0,15,43,39,0,70
Very Berry Hibiscus Lemonade Starbucks Refreshers® Beverage,Cold Drinks,Trenta,240,0,0,20,59,53,0,90
Pink Drink,Cold Drinks,Tall,110,2,0,50,21,19,0,35
Pink Drink,Cold Drinks,Grande,140,2.5,0,65,27,24,1,45
Pink Drink,Cold Drinks,Venti,200,4,0,95,39,35,1,70
Pink Drink,Cold Drinks,Trenta,270,5,0,130,55,48,1,90
Strawberry Açaí Starbucks Refreshers® Beverage,Cold Drinks,Tall,80,0,0,10,18,16,0,35
Strawberry Açaí Starbucks Refreshers® Beverage,Cold Drinks,Grande,90,0,0,15,23,20,0,45
Strawberry Açaí Starbucks Refreshers® Beverage,Cold Drinks,Venti,130,0,0,20,33,30,0,70
Strawberry Açaí Starbucks Refreshers® Beverage,Cold Drinks,Trenta,190,0,0,30,46,41,0,90
Very Berry Hibiscus Starbucks Refreshers® Beverage,Cold Drinks,Tall,50,0,0,10,13,11,0,35
Very Berry Hibiscus Starbucks Refreshers® Beverage,Cold Drinks,Grande,70,0,0,15,17,14,1,45
Very Berry Hibiscus Starbucks Refreshers® Beverage,Cold Drinks,Venti,90,0,0,25,23,20,1,70
Very Berry Hibiscus Starbucks Refreshers® Beverage,Cold Drinks,Trenta,130,0,0,30,33,28,1,90
Starbucks Refreshers™ Blueberry Acai,Cold Drinks,12 fl oz,90,0,0,5,26,20,0,50
Violet Drink,Cold Drinks,Tall,90,2,0,0,17,15,0,35
Violet Drink,Cold Drinks,Grande,110,3,0,0,22,19,0,45
Violet Drink,Cold Drinks,Venti,160,4,0,0,31,28,1,70
Violet Drink,Cold Drinks,Trenta,230,6,0,0,44,39,1,90
Evolution Fresh® Organic Vital Berry,Cold Drinks,11 fl oz,140,0,0,0,34,32,2,0
Evolution Fresh® Organic Defense Up®,Cold Drinks,11 fl oz,170,0,0,0,41,37,2,0
Evolution Fresh® Orange,Cold Drinks,11 fl oz,170,0,0,10,39,35,3,0
Evolution Fresh® Organic Super Fruit Greens,Cold Drinks,11 fl oz,180,0,0,170,41,36,3,0
Evolution Fresh® Watermelon,Cold Drinks,11 fl oz,130,0,0,10,29,25,2,0
Tree Top Apple Juice Box,Cold Drinks,8 fl oz,120,0,0,25,29,26,0,0
Lemonade,Cold Drinks,Kids,80,0,0,0,21,21,0,0
Lemonade,Cold Drinks,Tall,80,0,0,10,21,19,0,0
Lemonade,Cold Drinks,Grande,120,0,0,10,28,27,0,0
Lemonade,Cold Drinks,Venti,160,0,0,15,40,38,0,0
Lemonade,Cold Drinks,Trenta,200,0,0,20,48,45,0,0
Blended Strawberry Lemonade,Cold Drinks,Tall,130,0,0,135,32,31,0,0
Blended Strawberry Lemonade,Cold Drinks,Grande,190,0,0,200,46,45,0,0
Blended Strawberry Lemonade,Cold Drinks,Venti,260,0,0,270,64,62,0,0
Pineapple Coconut Green Smoothie,Cold Drinks,Grande,NA,NA,NA,NA,NA,NA,NA,NA
